participant,path,b_n_valid,b_n_probe_0,b_n_probe_1,b_median_hA_over_hB_all,b_median_hA_over_hB_probe1,b_mean_loss_probe1,b_mean_acc_probe1,a2_mean_loss_probe0,a2_mean_acc_probe0,a2_mean_loss_probe1,a2_mean_acc_probe1,a2_loss_gap_p1_minus_p0,has_core_comms_keys,run_folder,run_folder_path,task_similarity,study_cohort
study1_far_sub48,sim_study1_far_sub48.npz,12000,6000,6000,1335.07470703125,0.00025309575721621513,0.008310511708259583,0.9963599443435669,0.0003442371671553701,0.9998385310173035,0.16061992943286896,0.8542919754981995,0.1602756922657136,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub49,sim_study1_far_sub49.npz,12000,6000,6000,1365.603759765625,0.0003146217786706984,0.008442222140729427,0.9952812790870667,0.0003543308994267136,0.9997048377990723,0.15215906500816345,0.8392587900161743,0.15180473410873674,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub58,sim_study1_far_sub58.npz,12000,6000,6000,1442.0914306640625,0.0002870907774195075,0.00825918186455965,0.9959973692893982,0.00035505270352587104,0.9998128414154053,0.15941739082336426,0.8366814255714417,0.1590623381198384,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub59,sim_study1_far_sub59.npz,12000,6000,6000,1394.1929931640625,0.00032584049040451646,0.008182724006474018,0.9965918064117432,0.00035636781831271946,0.9997349977493286,0.15465252101421356,0.8190087676048279,0.15429615319590084,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub60,sim_study1_far_sub60.npz,12000,6000,6000,1440.2161865234375,0.00035617491812445223,0.008299443870782852,0.9961259961128235,0.00035808925167657435,0.9997796416282654,0.14498980343341827,0.9084253907203674,0.1446317141817417,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub61,sim_study1_far_sub61.npz,12000,6000,6000,1507.671630859375,0.0002962514408864081,0.008317191153764725,0.9967646598815918,0.00034511121339164674,0.9998509287834167,0.14951853454113007,0.8753660321235657,0.14917342332773842,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub62,sim_study1_far_sub62.npz,12000,6000,6000,1443.125732421875,0.0002672347181942314,0.00835181400179863,0.9968916177749634,0.0003425917529966682,0.9998300075531006,0.15288333594799042,0.8544049263000488,0.15254074419499375,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub8,sim_study1_far_sub8.npz,12000,6000,6000,1215.231201171875,0.00029592111241072416,0.009279108606278896,0.9943294525146484,0.000364478473784402,0.9998286962509155,0.15833556652069092,0.8536525964736938,0.15797108804690652,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub9,sim_study1_far_sub9.npz,12000,6000,6000,1611.13818359375,0.0003080098540522158,0.00830172374844551,0.996031641960144,0.0003843469894491136,0.9996737241744995,0.1413106620311737,0.8908803462982178,0.1409263150417246,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_near_sub1,sim_study1_near_sub1.npz,12000,6000,6000,1425.557861328125,0.0003186276007909328,0.008508216589689255,0.9956968426704407,0.00035140145337209105,0.9998539090156555,0.15653842687606812,0.8551541566848755,0.15618702542269602,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub18,sim_study1_near_sub18.npz,12000,6000,6000,1450.177734375,0.0003272874455433339,0.00800485908985138,0.9970511198043823,0.00034630612935870886,0.9998568296432495,0.1429031640291214,0.8590024709701538,0.1425568578997627,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub2,sim_study1_near_sub2.npz,12000,6000,6000,1452.973388671875,0.00031012704130262136,0.008587180636823177,0.9952252507209778,0.0003560955810826272,0.9997175931930542,0.1612716019153595,0.8189332485198975,0.16091550633427687,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
study1_near_sub21,sim_study1_near_sub21.npz,12000,6000,6000,1539.244140625,0.0002721087948884815,0.008377103134989738,0.9963616728782654,0.00033938122214749455,0.9998742938041687,0.13398002088069916,0.9401153922080994,0.13364063965855166,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,near,study1
