participant,similarity,phase,pathway,var_topk,n_pcs_90,n_pcs_99,run_id,condition_name,routing,dim_hidden,init_scale,log10_init,participant_run
sim_study1_near_sub59,near,post_A2,combined,0.535311396700415,7,10,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub59
sim_study1_near_sub52,near,post_A,combined,0.4713817232464147,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub52
sim_study1_near_sub52,near,post_B,combined,0.4713817232464147,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub52
sim_study1_near_sub52,near,post_A2,combined,0.4713817232464147,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub52
sim_study1_near_sub24,near,post_A,combined,0.4490785057430945,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub24
sim_study1_near_sub24,near,post_B,combined,0.4490785057430945,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub24
sim_study1_near_sub24,near,post_A2,combined,0.4490785057430945,7,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub24
sim_study1_near_sub31,near,post_A,combined,0.4174870989464487,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub31
sim_study1_near_sub31,near,post_B,combined,0.4174870989464487,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub31
sim_study1_near_sub31,near,post_A2,combined,0.4174870989464487,8,11,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3,task_routed,25,0.001,-3.0,two_module_rnn_25_task_routed_no_comms_nb2_init0.001_nl3_nb2_task_routed_sp0_sep_cr_RNN_init0.001__sim_study1_near_sub31
