run_id,condition,seed,init_scale,cyclic_pattern,participants_per_condition,mse,f2_neg_sep,routing_separation,genome
cnear_s1_i0.001_pABABABAB_ppc2,near,1,0.001,ABABABAB,2,0.27614379880532364,-0.16666662693023682,0.16666662693023682,111011110110
cnear_s1_i0.001_pABABABAB_ppc3,near,1,0.001,ABABABAB,3,0.6812206477611914,-1.0,1.0,000000111111
cnear_s1_i0.001_pABABABAB_ppc3,near,1,0.001,ABABABAB,3,0.48220286372615473,-0.8333333283662796,0.8333333283662796,000001111111
cnear_s1_i0.001_pABABABAB_ppc3,near,1,0.001,ABABABAB,3,0.4638779438261328,-0.5,0.5,010101111111
cnear_s1_i0.001_pABABABAB_ppc3,near,1,0.001,ABABABAB,3,0.4535473785256089,-0.3333333432674408,0.3333333432674408,000101100111
cnear_s1_i2.0_pABABAB_ppc2,near,1,2.0,ABABAB,2,0.36271127076311543,-1.0,1.0,111111000000
cnear_s1_i2.0_pABABAB_ppc2,near,1,2.0,ABABAB,2,0.3330072433243252,-0.8333333134651184,0.8333333134651184,000000101111
cnear_s1_i2.0_pABABAB_ppc2,near,1,2.0,ABABAB,2,0.3257235031036213,-0.666666641831398,0.666666641831398,110111010000
cnear_s1_i2.0_pABABAB_ppc2,near,1,2.0,ABABAB,2,0.31281510255278344,-0.3333333432674408,0.3333333432674408,110011010010
cnear_s1_i2.0_pABABAB_ppc2,near,1,2.0,ABABAB,2,0.3025375690776855,-0.0,0.0,010011010011
cnear_s1_i2.0_pABABAB_ppc3,near,1,2.0,ABABAB,3,0.6068539870043214,-1.0,1.0,000000111111
cnear_s1_i2.0_pABABAB_ppc3,near,1,2.0,ABABAB,3,0.5671934804592568,-0.8333333283662796,0.8333333283662796,010000111111
cnear_s1_i2.0_pABABAB_ppc3,near,1,2.0,ABABAB,3,0.5235800933809235,-0.8333333134651184,0.8333333134651184,000000110111
cnear_s1_i2.0_pABABAB_ppc3,near,1,2.0,ABABAB,3,0.4627722454758791,-0.666666641831398,0.666666641831398,000100110111
cnear_s1_i2.0_pABABAB_ppc3,near,1,2.0,ABABAB,3,0.4517974603634614,-0.3333333283662796,0.3333333283662796,010000011001
cnear_s1_i2.0_pABABAB_ppc3,near,1,2.0,ABABAB,3,0.42026106108051653,-0.0,0.0,011100110001
cnear_s1_i2.0_pABABABAB_ppc2,near,1,2.0,ABABABAB,2,0.4292140480869546,-1.0,1.0,000000111111
cnear_s1_i2.0_pABABABAB_ppc2,near,1,2.0,ABABABAB,2,0.38192124131681593,-0.8333333134651184,0.8333333134651184,000000111101
cnear_s1_i2.0_pABABABAB_ppc2,near,1,2.0,ABABABAB,2,0.3524534711734681,-0.6666666865348816,0.6666666865348816,000000110011
cnear_s1_i2.0_pABABABAB_ppc2,near,1,2.0,ABABABAB,2,0.34116801450928225,-0.6666666567325592,0.6666666567325592,111111001001
cnear_s1_i2.0_pABABABAB_ppc2,near,1,2.0,ABABABAB,2,0.31969418692611284,-0.3333333283662796,0.3333333283662796,001000010110
cnear_s1_i2.0_pABABABAB_ppc3,near,1,2.0,ABABABAB,3,0.6695665471341418,-1.0,1.0,000000111111
cnear_s1_i2.0_pABABABAB_ppc3,near,1,2.0,ABABABAB,3,0.45538774597319376,-0.8333333283662796,0.8333333283662796,000001111111
cnear_s1_i2.0_pABABABAB_ppc3,near,1,2.0,ABABABAB,3,0.43195202342908956,-0.16666662693023682,0.16666662693023682,110011111110
cnear_s2_i0.001_pABABAB_ppc2,near,2,0.001,ABABAB,2,0.30717108136741444,-1.0,1.0,111111000000
cnear_s2_i0.001_pABABAB_ppc2,near,2,0.001,ABABAB,2,0.19531705130463128,-0.8333333283662796,0.8333333283662796,000100111111
cnear_s2_i0.001_pABABAB_ppc2,near,2,0.001,ABABAB,2,0.1840278023076032,-0.5000000149011612,0.5000000149011612,111100001000
cnear_s2_i0.001_pABABAB_ppc3,near,2,0.001,ABABAB,3,0.43742639378895265,-1.0,1.0,000000111111
cnear_s2_i0.001_pABABAB_ppc3,near,2,0.001,ABABAB,3,0.43382364188213474,-0.8333333134651184,0.8333333134651184,000000111011
cnear_s2_i0.001_pABABAB_ppc3,near,2,0.001,ABABAB,3,0.3934492977407689,-0.6666666865348816,0.6666666865348816,000000111100
cnear_s2_i0.001_pABABAB_ppc3,near,2,0.001,ABABAB,3,0.35488918028198757,-0.666666641831398,0.666666641831398,100000111011
cnear_s2_i0.001_pABABABAB_ppc2,near,2,0.001,ABABABAB,2,0.31984551606804196,-1.0,1.0,000000111111
cnear_s2_i0.001_pABABABAB_ppc2,near,2,0.001,ABABABAB,2,0.20641132893747297,-0.8333333283662796,0.8333333283662796,100000111111
cnear_s2_i0.001_pABABABAB_ppc2,near,2,0.001,ABABABAB,2,0.19255807490794566,-0.4999999701976776,0.4999999701976776,001010110111
cnear_s2_i0.001_pABABABAB_ppc3,near,2,0.001,ABABABAB,3,0.4922824278473854,-1.0,1.0,000000111111
cnear_s2_i0.001_pABABABAB_ppc3,near,2,0.001,ABABABAB,3,0.4358526419516353,-0.8333333283662796,0.8333333283662796,000001111111
cnear_s2_i0.001_pABABABAB_ppc3,near,2,0.001,ABABABAB,3,0.4172434115718151,-0.1666666716337204,0.1666666716337204,010000010100
cnear_s2_i0.001_pABABABAB_ppc3,near,2,0.001,ABABABAB,3,0.4138779040725752,-0.0,0.0,000101000011
cnear_s2_i2.0_pABABAB_ppc2,near,2,2.0,ABABAB,2,0.294826731371524,-1.0,1.0,111111000000
cnear_s2_i2.0_pABABAB_ppc2,near,2,2.0,ABABAB,2,0.21536193117076022,-0.8333333283662796,0.8333333283662796,111111000100
cnear_s2_i2.0_pABABAB_ppc2,near,2,2.0,ABABAB,2,0.2038332025139508,-0.6666666865348816,0.6666666865348816,001111000000
cnear_s2_i2.0_pABABAB_ppc2,near,2,2.0,ABABAB,2,0.20198273285165091,-0.666666641831398,0.666666641831398,101111000100
cnear_s2_i2.0_pABABAB_ppc2,near,2,2.0,ABABAB,2,0.17896244454922536,-0.4999999701976776,0.4999999701976776,111110010100
cnear_s2_i2.0_pABABAB_ppc3,near,2,2.0,ABABAB,3,0.5963426791131496,-1.0,1.0,111111000000
cnear_s2_i2.0_pABABAB_ppc3,near,2,2.0,ABABAB,3,0.4399440054136973,-0.8333333283662796,0.8333333283662796,111111100000
cnear_s2_i2.0_pABABAB_ppc3,near,2,2.0,ABABAB,3,0.4003903384392078,-0.8333333134651184,0.8333333134651184,110111000000
