run_id,status,error,duration_s,utc_finished,condition,seed,init_scale,cyclic_pattern,participants_per_condition,population,generations,train_steps,participants_json,pareto_n,pop_n,best_mse_pareto,worst_mse_pareto,max_routing_sep_pareto,baseline_low_sigma_mse,baseline_high_sigma_mse
cnear_s3_i2.0_pABABABAB_ppc2,ok,,1881.534,2026-04-04T16:03:50.546607+00:00,near,3,2.0,ABABABAB,2,44,24,180,"[""study1_near_sub15"", ""study2_near_sub39""]",3,44,0.30834915061834556,0.42420898562754855,1.0,0.6292182773126868,0.603004063126342
cnear_s3_i2.0_pABABABAB_ppc3,ok,,1806.770,2026-04-04T16:33:57.319370+00:00,near,3,2.0,ABABABAB,3,44,24,180,"[""study1_near_sub15"", ""study1_near_sub31"", ""study2_near_sub39""]",7,44,0.4996332834506857,0.6731080523338812,1.0,0.7207099634554537,0.7238947470356635
cfar_s0_i0.001_pABABAB_ppc2,ok,,1776.883,2026-04-04T17:03:34.204855+00:00,far,0,0.001,ABABAB,2,44,24,180,"[""study2_far_sub55"", ""study2_far_sub6""]",7,44,0.35300806581720034,0.458895831792192,1.0,0.4956838022758761,0.4984829027565535
cfar_s0_i0.001_pABABAB_ppc3,ok,,1842.811,2026-04-04T17:34:17.018880+00:00,far,0,0.001,ABABAB,3,44,24,180,"[""study1_far_sub12"", ""study2_far_sub55"", ""study2_far_sub6""]",4,44,0.45535370486860094,0.5872960680952439,1.0,0.6302631558134005,0.587820668060046
cfar_s0_i0.001_pABABABAB_ppc2,ok,,1851.860,2026-04-04T18:05:08.880650+00:00,far,0,0.001,ABABABAB,2,44,24,180,"[""study2_far_sub55"", ""study2_far_sub6""]",8,44,0.3164058809072293,0.5366945685919149,1.0,0.48951146418453545,0.4575468344928281
cfar_s0_i0.001_pABABABAB_ppc3,ok,,1932.948,2026-04-04T18:37:21.830633+00:00,far,0,0.001,ABABABAB,3,44,24,180,"[""study1_far_sub12"", ""study2_far_sub55"", ""study2_far_sub6""]",9,44,0.446699144682665,0.5688917256848908,1.0,0.6853848201190603,0.6784024918558954
cfar_s0_i2.0_pABABAB_ppc2,ok,,1856.334,2026-04-04T19:08:18.167831+00:00,far,0,2.0,ABABAB,2,44,24,180,"[""study2_far_sub55"", ""study2_far_sub6""]",6,44,0.325958756682336,0.4410180186069655,1.0,0.49516504507945763,0.5019001243636012
cfar_s0_i2.0_pABABAB_ppc3,ok,,1864.540,2026-04-04T19:39:22.710145+00:00,far,0,2.0,ABABAB,3,44,24,180,"[""study1_far_sub12"", ""study2_far_sub55"", ""study2_far_sub6""]",5,44,0.4532840344768304,0.5935854185659152,1.0,0.6273386776447296,0.6017963005946233
cfar_s0_i2.0_pABABABAB_ppc2,ok,,1837.152,2026-04-04T20:09:59.864399+00:00,far,0,2.0,ABABABAB,2,44,24,180,"[""study2_far_sub55"", ""study2_far_sub6""]",7,44,0.331471987800765,0.44869011878196535,1.0,0.49375045620675745,0.4700328878223382
cfar_s0_i2.0_pABABABAB_ppc3,ok,,1919.107,2026-04-04T20:41:58.974658+00:00,far,0,2.0,ABABABAB,3,44,24,180,"[""study1_far_sub12"", ""study2_far_sub55"", ""study2_far_sub6""]",7,44,0.4114286591909055,0.5715481024021389,1.0,0.678598747299663,0.6853353250985859
cfar_s1_i0.001_pABABAB_ppc2,ok,,1755.653,2026-04-04T21:11:14.630537+00:00,far,1,0.001,ABABAB,2,44,24,180,"[""study2_far_sub19"", ""study2_far_sub64""]",5,44,0.21663776438535107,0.35729935353579506,1.0,0.3778337928974493,0.373574114065956
cfar_s1_i0.001_pABABAB_ppc3,ok,,1742.793,2026-04-04T21:40:17.426229+00:00,far,1,0.001,ABABAB,3,44,24,180,"[""study2_far_sub19"", ""study2_far_sub29"", ""study2_far_sub64""]",6,44,0.3540270466178369,0.4885457524707398,1.0,0.467512771472908,0.4386219841499741
cfar_s1_i0.001_pABABABAB_ppc2,ok,,1907.951,2026-04-04T22:12:05.380047+00:00,far,1,0.001,ABABABAB,2,44,24,180,"[""study2_far_sub19"", ""study2_far_sub64""]",3,44,0.2650352647359451,0.3568736852692633,1.0,0.40793664446642525,0.4104228971429683
cfar_s1_i0.001_pABABABAB_ppc3,ok,,1954.627,2026-04-04T22:44:40.014183+00:00,far,1,0.001,ABABABAB,3,44,24,180,"[""study2_far_sub19"", ""study2_far_sub29"", ""study2_far_sub64""]",7,44,0.38582643185710086,0.5019312604362595,1.0,0.4413340575564867,0.438226166202676
cfar_s1_i2.0_pABABAB_ppc2,ok,,1901.084,2026-04-04T23:16:21.101362+00:00,far,1,2.0,ABABAB,2,44,24,180,"[""study2_far_sub19"", ""study2_far_sub64""]",4,44,0.22151362047192047,0.3407208141523535,1.0,0.3761272947303951,0.35164620888165454
