,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.18212322681211e-05,-0.001057760207913816,8.223477379942778e-06,-0.0003945980279240757,-0.0005766432150267065,0.0015493164537474513,-0.00032029938302002847,-0.00041577694355510175,-0.00027118902653455734,4.960923979524523e-05,-8.922621782403439e-05,-0.0010732354130595922,-0.0007160832756198943,-0.0004742141463793814,-0.00044199253898113966,0.00029217853443697095,-0.0003081398317590356,-0.0001400285109411925,-0.0001981304812943563,-0.0008961214334703982,0.0005473846686072648,-0.00020969171600881964,0.0005778976483270526,0.0006485846824944019,-2.4674509404576384e-05
A_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00036448650644160807,0.0009747042786329985,-0.00251865410245955,0.0013573771575465798,0.0005938509711995721,0.001013953355140984,-9.011147631099448e-05,0.0015459578717127442,-0.00032901778467930853,-0.00018712616292759776,-0.0009754694765433669,-0.0012215141905471683,-5.7989833294413984e-05,-0.0009543029591441154,-0.00015671117580495775,0.0011546864407137036,-0.0005141175352036953,0.0014940612018108368,-0.0009375131921842694,-0.0004840255423914641,-0.0009782351553440094,-0.001080598565749824,-0.0009544880012981594,3.050566192541737e-05,0.0011704216012731194
A_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025669505703262985,-0.0005761757493019104,-0.0006637137266807258,0.0017040391685441136,0.0007755308761261404,-0.0010042007779702544,-0.001881177769973874,-0.0012935529230162501,0.00029757589800283313,-0.0008287844248116016,-0.00023433554451912642,-0.0006789420149289072,0.0003168891998939216,-0.0017296624137088656,0.0008846313576214015,8.149855420924723e-05,-0.0014066800940781832,0.0022382931783795357,-0.00045778087223879993,0.0009182322537526488,-0.0003068032383453101,-0.0004595024511218071,0.0001028338519972749,-6.381567072821781e-05,-0.0016265055164694786
A_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014004333643242717,0.0003645797842182219,0.0005178031860850751,-0.0011759188491851091,0.0005304148071445525,0.0005746580427512527,0.0005120831774547696,-0.0007290418143384159,-0.0003218577476218343,0.000987531617283821,0.0002775676839519292,0.0009468741482123733,0.0001622461568331346,0.001162362052127719,-0.0008364671957679093,0.0007904928061179817,-0.0008224323391914368,0.0005395104526542127,0.0013270968338474631,-4.5780114305671304e-05,0.0023791929706931114,0.0014839847572147846,0.0005327062681317329,0.0008353702141903341,-0.0008160097058862448
A_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002445954887662083,0.0005658597219735384,0.0015211860882118344,0.0010831356048583984,0.00030768985743634403,0.0006455252878367901,0.00126147479750216,-0.0013849798124283552,0.0010429109679535031,-0.0007297342526726425,0.0010330738732591271,0.0015586107037961483,5.757713006460108e-05,0.00024317859788425267,0.00083224440459162,0.0008120736456476152,-0.0011418581707403064,0.001434521283954382,-0.001454400597140193,-0.0014255205169320107,0.0016045045340433717,0.0001321293821092695,-0.0010930441785603762,5.336185495252721e-05,0.000867608527187258
A_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006545227370224893,0.0017940991092473269,0.0018393904902040958,-0.0006024581380188465,0.0014013523468747735,0.000936508527956903,-0.0008799065253697336,-3.5402924822847126e-06,0.00028958095936104655,0.0010070264106616378,-6.80399316479452e-05,0.0007522965897805989,-0.00026668549980968237,-0.000306920352159068,5.684036295861006e-05,-9.66058905760292e-06,0.0010796108981594443,0.0005331735592335463,-5.6233653594972566e-05,2.820950794557575e-05,-0.0006630751304328442,-0.0025131129659712315,0.0009673956083133817,-0.0018772630719467998,-0.0012086365604773164
A_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4965510672482196e-05,-0.0004218701214995235,0.00015484298637602478,-0.0010144636034965515,4.075390097568743e-05,-0.0009155826410278678,0.00031991631840355694,-5.159378815733362e-06,0.0005396707565523684,-0.0007187116425484419,-0.00033810644526965916,0.0009233755408786237,-0.00013729467173106968,-0.0011870876187458634,-0.0011727687669917941,-0.0001204760919790715,-0.0014197196578606963,0.00014375137106981128,0.00018569378880783916,0.001768660033121705,-0.0008462751284241676,-0.0001768105139490217,-0.0008506798185408115,-5.4292893764795735e-05,-0.0005139150889590383
A_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010745746549218893,0.00033114393590949476,0.0009290839079767466,0.0003504497872199863,-0.001987945521250367,-0.0013742259470745921,4.101251397514716e-05,-0.0003640099603217095,0.0012606139061972499,9.335190407000482e-05,-0.001153556047938764,-0.0004396395233925432,0.001016056165099144,-0.00013984955148771405,0.0010049670236185193,-0.0007035846938379109,0.00018644245574250817,0.00011433957843109965,-0.0006360620027408004,-0.00018593244021758437,-4.389020614326e-05,-0.0008773868321441114,0.0012247728882357478,-0.0001471932337153703,-0.0001752012176439166
A_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010751192457973957,-0.0010064676171168685,0.0007768578943796456,0.0003898181312251836,0.0013888877583667636,0.0008404356194660068,-0.0019158696522936225,-0.0014499835669994354,0.00046107679372653365,0.0007088693673722446,-0.000560102635063231,-0.0017817807383835316,-0.0011035025818273425,0.0005277579184621572,0.0012009928468614817,-0.0002738326438702643,-0.0013759396970272064,0.0013115102192386985,-0.0019958692137151957,0.0017817610641941428,-5.8670069847721606e-05,-0.00043025839840993285,-0.0005668870289810002,-0.000352295464836061,-0.0013274975353851914
A_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.469519914593548e-05,-0.0017204941250383854,-0.0013794336700811982,-0.0015861967112869024,-0.0006305844872258604,-0.00011685166828101501,-0.0014906153082847595,-0.00040268435259349644,6.173012661747634e-05,-0.00029468012508004904,0.001194224925711751,0.0007585750427097082,-0.0011053100461140275,0.0009199804626405239,0.0004404553910717368,0.0005709257675334811,0.0011918282834812999,0.001128548290580511,0.0014177863486111164,-0.0007935551693663001,0.0010324947070330381,0.0007562190876342356,-0.0007933671586215496,-0.0006502194446511567,0.00010246422607451677
A_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00073089892975986,2.6704195988713764e-05,0.00024774603662081063,-0.00047925111721269786,-0.00014235844719223678,4.222739516990259e-05,0.0008733946597203612,0.0010371034732088447,-0.0018825505394488573,0.0010108244605362415,0.0018419709522277117,0.0006304231355898082,-0.0006026634364388883,-0.00043108960380777717,0.0006677230703644454,0.002096181735396385,1.8198070392827503e-05,-0.0005676219007000327,-0.0017907876754179597,-0.0006197310285642743,0.00048698618775233626,0.0009062591707333922,0.000154020672198385,-0.0012608482502400875,-0.0005065422737970948
A_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004638636892195791,0.0014485991559922695,0.0012448338093236089,0.00029986415756866336,-0.0018829567125067115,0.000552385812625289,-0.0006671396549791098,-0.001132945530116558,-0.000830179313197732,0.0007216411177068949,-0.0010823020711541176,0.0009381934069097042,0.0003158621257171035,-0.0016626706346869469,-0.00040853131213225424,-0.00031241634860634804,0.002182901371270418,0.0008840392692945898,-0.00021055954857729375,-0.0005227123619988561,0.00036653460119850934,-0.0019833703991025686,0.0006941711762920022,-0.0013374348636716604,-0.0007856892771087587
A_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007940588402561843,0.001095923944376409,-0.0013860432663932443,0.000280648295301944,-0.0019364530453458428,0.0010297574335709214,-5.072076419310179e-06,0.00023314703139476478,-0.0005666980869136751,8.229298691730946e-05,-0.0005971188074909151,-0.0018280307995155454,6.239816229935968e-06,0.0002949141198769212,-0.00018710727454163134,-0.00015744181291665882,-0.0011088766623288393,0.0004167516599409282,0.0011195939732715487,-0.002407409716397524,7.761091546854004e-05,0.00039356009801849723,-0.0005848726723343134,-0.00041086089913733304,-0.00011686114885378629
B_0,0.0026422059163451195,-0.0001744659384712577,0.0006389524205587804,-5.399268047767691e-05,-3.421714427531697e-05,-0.0006973134004510939,-0.0002969034540001303,0.0006240220973268151,-0.00020591499924194068,0.00014586886391043663,-0.0002126161562046036,0.0013144523836672306,0.00044526217970997095,-0.000820308574475348,-0.00037030447856523097,0.0002919902326539159,0.0011677276343107224,-6.527305231429636e-05,-8.613989484729245e-05,-0.0009078285074792802,0.0008103203726932406,0.0008512016502209008,-0.0009518212173134089,0.0009189130505546927,0.0013463819632306695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_1,-0.0020154016092419624,-0.0012418638216331601,-0.000689006585162133,0.0008728191023692489,0.0002741435309872031,-0.0020969752222299576,4.759015791933052e-05,-0.00154654320795089,0.00045513021177612245,-0.0006953581469133496,-0.0001255980896530673,0.00023973066709004343,0.0003381651476956904,0.00030854257056489587,0.0001610592589713633,0.0015302402898669243,-0.0013104828540235758,-4.6415698307100683e-05,0.0007129277219064534,0.001987507799640298,-7.854200521251187e-05,-0.00021998521697241813,0.0005405303672887385,0.00045976205728948116,0.0025795004330575466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_2,-0.000497802160680294,0.0009464817703701556,0.0007647011079825461,0.0005104865413159132,-0.0011510152835398912,0.0010712206130847335,0.0023806726094335318,-0.0011677927104756236,0.0011507179588079453,-0.00036774075124412775,-0.0007170428871177137,0.00033065222669392824,-0.00012778151722159237,0.0004774794797413051,0.00015678144700359553,-0.0001479750353610143,0.0012260995572432876,0.0008455002680420876,-0.00015678955242037773,-0.0013261472340673208,0.0006640051724389195,-0.002038414590060711,0.001380839617922902,6.427296466426924e-05,0.00031572056468576193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
