,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006758246454410255,1.1400163202779368e-05,-0.0009640853968448937,-0.00024480820866301656,-0.00031615220359526575,-0.00046596655738539994,0.0005720325862057507,0.0011445150012150407,-0.00029539657407440245,-0.002181748393923044,-0.00030101710581220686,0.0004174833884462714,0.002387652173638344,-0.00013985327677801251,0.0016890891129150987,0.0008801500080153346,-0.0015452110674232244,0.00042821417446248233,-0.0007091633742675185,-0.001286561950109899,0.0006373429205268621,-0.0002692198031581938,0.00031580799259245396,0.00042280845809727907,-0.002285372233018279
A_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008187158964574337,-0.0002788240381050855,-0.00042905122973024845,0.0010698874248191714,-0.00045486813178285956,0.0002539443376008421,-0.0004030516720376909,0.002051416551694274,0.001209912938065827,0.0003015755210071802,-0.0005206477944739163,-0.0005214515840634704,0.0007629923056811094,0.00045361006050370634,-0.0002479077666066587,-0.0008454541093669832,-0.0008288885583169758,0.0005536749958992004,7.464455120498314e-05,0.0002870272728614509,0.0016198838129639626,-0.0006218005437403917,-9.651266736909747e-05,0.0016339275753125548,-0.0003168989787809551
A_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011349769192747772,-0.00018131131946574897,-0.0002855004568118602,-0.00039741169894114137,-0.001960789319127798,0.0006699268706142902,0.00044854014413431287,0.0006222861702553928,-0.0003888696082867682,-0.0006563575007021427,-0.0009491006494499743,0.0003799562400672585,-0.0016390967648476362,1.3554710676544346e-05,0.0005954448133707047,-0.0015105879865586758,0.0005450475146062672,0.0010678862454369664,0.0013576277997344732,0.00020230830705258995,0.0017384099774062634,0.0005536123644560575,0.00010452059359522536,0.0004551117599476129,0.00022894922585692257
A_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.711859168717638e-05,-0.0001327986246906221,0.0013221242697909474,-0.0011366993421688676,-0.00032232922967523336,-0.00016632686310913414,-0.0005236309370957315,0.0010036968160420656,0.0007448202813975513,-0.0007430852856487036,-0.0005129413912072778,-0.00036592240212485194,-0.0005446641007438302,-0.0004681150312535465,-0.00022458663443103433,-0.0005726350354962051,-0.00016025557124521583,0.0006173771107569337,-0.002894220408052206,-0.0004986602580174804,0.0011213294928893447,0.00028038848540745676,0.00023418354976456612,-0.000487786834128201,0.0005255833966657519
A_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006505934288725257,-0.00010879559704335406,-0.0012794211506843567,-0.0006546960212290287,-0.0011410382576286793,-0.00013646557636093348,0.00025158104836009443,7.507265399908647e-05,0.00021569627278950065,-0.0007821191102266312,0.00047970240120776,0.0015124214114621282,0.00029067840659990907,-0.00048270117258653045,0.0008739113109186292,-0.001767899957485497,-0.0012184262741357088,-0.00023279624292626977,0.0003048510989174247,0.0002550534554757178,0.0008543967269361019,0.0007789669325575233,0.0011336635798215866,8.742861973587424e-05,-0.0007941293297335505
B_0,-0.00015803946007508785,-0.0004148250736761838,-0.0004921568324789405,0.0018813019851222634,-0.001233401009812951,3.50359950971324e-05,0.00016113616584334522,0.0002711890556383878,0.001091948477551341,0.0023218239657580853,0.0013015923323109746,-0.0008861764799803495,-0.0016553191235288978,0.0007471065619029105,0.00014044503041077405,-0.0015407174360007048,0.001301185810007155,0.00028581114020198584,0.0002649400557857007,-0.0008506092708557844,0.0004781578609254211,0.0006105166976340115,-5.4059801186667755e-05,-0.0003797850222326815,4.8870726459426805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_1,-0.0010174901690334082,0.0018378099193796515,0.0003484069602563977,0.0006981655023992062,0.0009782577399164438,0.0005393348983488977,0.0007857288583181798,4.57018286397215e-05,0.0009347993182018399,0.0008647016948089004,0.0006419757264666259,-0.0003371578059159219,-0.0007438459433615208,-0.0005703513161279261,0.001530611189082265,0.0013490974670276046,-0.0014682859182357788,0.0008640270098112524,0.000669745379127562,-0.0014273765264078975,-0.0008071769261732697,-0.0006605909438803792,-0.0001375137799186632,-0.0008897799416445196,-0.0021534354891628027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_2,0.00046699398080818355,0.0005404026014730334,-0.0010662003187462687,0.001745525049045682,8.166825864464045e-05,0.00016759523714426905,-0.0006336082005873322,-0.00021681103680748492,-0.0003044360491912812,0.0004304484464228153,1.6969574062386528e-05,-0.000969198124948889,-0.00017174561799038202,-1.3690361811313778e-05,0.0005866317660547793,-0.0004474351298995316,4.1340231291542295e-06,0.00017559094703756273,-0.0001555268099764362,0.0013242552522569895,0.0004455565649550408,0.00037299410905689,-0.0009388126200065017,-0.0020798572804778814,-0.00019757951667997986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_3,0.0010905019007623196,0.0006246801349334419,0.0015431398060172796,0.00036281245411373675,-0.0005519248661585152,-0.0005426273564808071,-0.00034507442614994943,0.0007028822437860072,0.0003716569917742163,-0.0004839529865421355,0.00015624372463207692,0.0008703747298568487,0.0005302423378452659,7.590599579998525e-06,-5.065761797595769e-05,0.0008539025438949466,-0.0008588111959397793,-0.0002703486825339496,0.000491595477797091,0.003078459296375513,-0.0003842864534817636,0.000658947101328522,-0.000577158818487078,0.0002791092556435615,0.0016757940175011754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_4,-0.0010148672154173255,-0.0002829240693245083,0.0009858297416940331,0.00017585244495421648,-0.00047933380119502544,0.00020537595264613628,0.0005491600022651255,0.0012193444417789578,-0.0010312218219041824,-9.424977179151028e-05,-0.00019570956646930426,0.0004467024118639529,0.00035255952388979495,-0.0002227429358754307,-0.0004373789706733078,-0.001275666174478829,0.0007460096385329962,-0.0010216329246759415,0.0006344389985315502,0.0006538391462527215,-0.0018328914884477854,2.6183191948803142e-05,-0.0008593957172706723,-0.0011645120102912188,0.0009467427735216916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
