,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005832372698932886,0.00020928621233906597,0.001744802575558424,0.00046687034773640335,0.00010536046465858817,-0.0013253602664917707,0.0002022132684942335,0.0021038984414190054,0.0016214709030464292,-0.0009233462042175233,-0.00045997608685866,-0.00027629532269202173,0.0012734143529087305,-0.00044536471250467,0.0011297609889879823,-0.0013609007000923157,-0.00037732539931312203,0.00039452442433685064,0.0015186163363978267,-0.0008228350197896361,0.0002559220010880381,8.454568887827918e-05,0.0011597814736887813,-0.0007102122181095183,0.0017325953813269734
A_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010909034608630463,-0.0006650903960689902,-0.001632603583857417,0.0005205671186558902,-7.210646435851231e-05,-0.00022123831149656326,0.001870103063993156,0.00045772286830469966,-0.00038875138852745295,0.001552246161736548,0.0008993919473141432,0.00035090409801341593,0.0008322920766659081,0.000636076380033046,0.000963824160862714,-0.0004772379470523447,-0.0012230374850332737,-0.0015190213453024626,0.0012097469298169017,-0.000908797315787524,-0.000363153318176046,-0.0006993705756030977,-0.0006807225290685892,-0.0006505775963887572,0.00013908256369177252
A_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011248503578826785,-0.0003031613596249372,0.0011663018958643079,-0.00017110002227127552,0.0002857384388335049,0.001350167440250516,-0.0012550767278298736,-0.0032755383290350437,0.0008858389919623733,0.0009360774420201778,-0.00014245886995922774,-0.001234490773640573,-8.83486500242725e-05,-0.0017358441837131977,0.00022065368830226362,0.0007743134046904743,-0.0006566859665326774,-0.0008766228565946221,-0.00046132117859087884,-0.0006177915493026376,-0.00141632289160043,0.0007807216024957597,-0.000126397586427629,-0.00024010711058508605,0.0001476738107157871
A_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002489352773409337,-0.001213708659633994,-0.00017138582188636065,-0.0004278305568732321,0.0008004913688637316,0.0007663834257982671,0.0012447438202798367,0.0004095646145287901,-0.0007482955697923899,-0.0004937938647344708,0.0002173640241380781,-0.0007412705454044044,-0.0006139077595435083,-0.0005856684874743223,0.0004675560921896249,5.671762119163759e-05,-0.0008810810395516455,-0.0005140888970345259,0.0007892741123214364,-0.0003793258802033961,0.001128264470025897,0.0014190939255058765,-0.0016396386781707406,-7.897103205323219e-05,-0.0013682451099157333
A_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014390076976269484,-0.0016007993835955858,-0.0009305449784733355,-0.0018553995760157704,-0.0018732522148638964,-0.0002319038612768054,-0.0017293670680373907,0.002310035051777959,-0.0010302347363904119,-0.0009408827754668891,7.88464312790893e-05,-0.0006261150119826198,-0.0010715917451307178,0.0006270593148656189,0.0005181892192922533,5.4974323575152084e-05,-0.0009239105274900794,-0.0002910963667090982,-0.00011532668577274308,0.000502070237416774,4.8401238018414006e-05,-0.001137106097303331,-0.0012228017440065742,-0.0014117873506620526,0.0015908369095996022
A_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001958605367690325,0.0016642988193780184,-0.0006188512779772282,-0.0012731795432046056,-0.0009257330093532801,0.0007128646248020232,-9.59806056926027e-05,-3.675670814118348e-05,6.0682094044750556e-05,0.0006818142719566822,-0.00014669874508399516,0.00046624307287856936,-0.0007491245050914586,0.0003865316684823483,-0.0015520602464675903,0.001300893840380013,0.0005246952059678733,0.0022917306050658226,0.0005655785789713264,0.0010155613999813795,0.0003687467542476952,0.0012259251670911908,0.00047932585584931076,-0.0014870387967675924,-0.0010236836969852448
A_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009730402380228043,-0.0004884841036982834,-0.002217259956523776,-0.0015927570639178157,0.0010580982780084014,0.0016349822981283069,-7.787194044794887e-05,0.0006339055835269392,0.0003201322688255459,-0.0011668867664411664,-0.00032593400101177394,-0.00027030330966226757,-0.001182587817311287,0.0013096961192786694,-0.0008456447394564748,-0.0004806825891137123,1.406124920322327e-05,-0.0007102373638190329,0.00045253735152073205,0.000379484670702368,-0.0011749779805541039,0.0004328975628595799,-8.272688137367368e-05,-0.00011027647269656882,0.0015760102542117238
A_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002702360798139125,-0.0014121123822405934,0.0005006412975490093,0.0010525984689593315,0.0020728767849504948,0.000983168021775782,-0.00035232145455665886,-0.0008171930094249547,0.0003180822532158345,0.0006334572099149227,0.00020302258781157434,-7.775402627885342e-05,0.001085572293959558,0.0013988123973831534,-0.000426525337388739,-0.001301520154811442,-0.0012317959917709231,-0.001818690448999405,0.0017684861086308956,-3.5597870009951293e-05,0.0001772836403688416,-0.0003747838200069964,-0.00012673927994910628,-0.000568325340282172,-0.00041383548523299396
A_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040507176890969276,0.0005361892399378121,0.00043514775461517274,3.729005766217597e-05,-0.0006836968241259456,-0.0006508323713205755,-0.0003793277428485453,-0.0010120320366695523,-0.0002797934284899384,-0.0011966358870267868,-0.0008061313419602811,0.0009128308738581836,-0.001581346383318305,5.433713158708997e-05,-0.0006469322252087295,-0.001341628609225154,0.0007496882462874055,-0.0001375647698296234,0.0021692293230444193,-0.0006926606874912977,-0.0011935518123209476,-0.001077009947039187,0.0015419431729242206,0.0011790709104388952,-0.002126468811184168
A_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016088736010715365,-0.00039428193122148514,0.00011712338891811669,-0.0001780397433321923,6.822885916335508e-05,-0.00030352987232618034,-0.000206524389795959,-0.0006980730686336756,-0.00018906383775174618,-0.0015978739829733968,0.0012008394114673138,0.0001803601044230163,-0.000339354359311983,-0.0007990777958184481,0.0010301820002496243,-0.0004291711375117302,-0.0008151998044922948,-0.0002905957808252424,-0.0005260662292130291,-0.00025132999871857464,0.0009849418420344591,0.0005634503904730082,0.00171996362041682,-0.0023500146344304085,6.146692612674087e-06
A_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014330896083265543,-0.0012534214183688164,-1.7320038750767708e-05,0.001199000864289701,0.00016914846491999924,0.00045581936137750745,0.00014019889931660146,-0.00014983217988628894,-0.000295577832730487,0.000718382652848959,-0.0005545182502828538,0.0007814333657734096,-0.00128314143512398,0.0004669426998589188,0.0001441529020667076,0.0003801480634137988,0.0007738854619674385,-0.0015781666152179241,0.0007330764201469719,-0.0018013442168012261,-0.000906841829419136,0.00010756060510175303,0.0002922971034422517,-0.0012771377805620432,0.00017839207430370152
