participant,condition,study,A_rule,B_rule,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2,A_LL_B,B_LL_B,A_LL_A2,B_LL_A2
study1_far_sub28,far,1,-2.304344,0.837249,0.8856343850352147,0.5021318792954718,0.8010883052676399,0.24100023882828409,0.8487695698895492,0.18917100826649996,-107.7021846832545,-116.26728991115174,-120.29787264351917,-128.55709597856327
study1_far_sub29,far,1,1.459345,-1.6822480000000002,0.6482206528263744,6.323731588575024,0.037037037037037035,25.49197182587456,0.716666665885732,13.936057140329405,-160.9423655361834,-32.686828763887135,-99.07563718694469,-149.77933204870214
study1_far_sub30,far,1,-1.5251589999999997,1.616434,0.9814814814814833,17.05420050153602,3.1738178322800977e-16,8.61838281571908,0.9833333333341253,14.093167793254164,-162.74787465342058,-20.199473318645737,-26.823433838445585,-180.28672883333223
study1_far_sub32,far,1,1.244543,-1.897049,0.9832844037242713,5.090378640284794,0.16926776588530623,7.866951781370167,0.966649831598642,7.747873716790664,-148.22429205162086,-71.14987376962662,-47.07602177213186,-176.59417478480555
study1_far_sub33,far,1,1.062912,-2.078681,1.0,26.115771482858637,2.326224605990861e-19,10.368858709036225,0.9166672628724749,12.604344636796933,-163.31078858763536,-14.886856223130055,-53.59058834513954,-174.8828678505019
study1_far_sub34,far,1,1.875414,-1.266179,0.798529271666582,1.3023423352206953,0.2995972127953499,3.7081709234889493,0.6171562103094179,2.0968176694739187,-133.01128580562073,-90.95818890509105,-113.50549328911612,-135.34947931893961
study1_far_sub35,far,1,2.114832,-1.02676,0.9379761308064348,2.672489894945554,0.047286004584316234,2.6402205304435915,0.014356135669365758,5.5566155239384925,-150.68000128433184,-66.29039079751068,-178.109030805315,-40.14354551901468
study1_far_sub36,far,1,2.363541,-0.778051,0.9554276919716921,1.318509851142984,5.932196237918749e-06,1.8753248594064005,0.8294419317748315,1.3239534051732507,-148.4995235027822,-70.63752499468589,-102.09364376737433,-146.7613366610709
study1_far_sub37,far,1,-2.61443,0.527163,0.9515462580605728,3.1035390706440777,0.026894040312597293,8.288653219335355,0.9999999986691578,2.465234385498144,-160.7001791821448,-34.026408377703774,-67.54470708245985,-170.0971639766604
study1_far_sub38,far,1,2.392931,-0.748662,0.8308488786974432,1.256395840584367,0.20042443106162183,2.4396344240575636,0.8993040301704425,1.0,-138.51264633424128,-85.29906670303099,-103.2742869744414,-145.58067578237868
study1_far_sub39,far,1,2.303465,-0.838127,0.9999999999999998,6.044672573356191,0.04266000335712419,4.367201447884501,0.983342837299572,6.897502905862672,-156.7374507890381,-50.456502262579306,-39.56301598201756,-178.22286681297302
study1_far_sub4,far,1,2.068374,-1.073219,0.8646589705704444,1.7796267094198546,0.06381099892245563,4.4285171954402385,0.9996843693075739,4.33629571529999,-155.69797770269423,-53.712166380817614,-45.5836358142783,-176.94556417786143
study1_far_sub40,far,1,-1.300021,1.841571,0.6828592068617927,2.4789702180733797,2.171401930881358e-15,5.392611936780566,1.062168644790073e-17,2.954052065317099,-160.67955605494487,-34.13773849974905,-172.81927338153807,-60.21086618297325
study1_far_sub41,far,1,-1.245253,1.8963399999999997,0.6450714047151174,2.888488933890802,0.10298296860348702,4.342866442209928,0.8334378608024307,7.212492634165167,-150.602385543203,-66.45460534298465,-74.94751150448484,-166.80317338977724
study1_far_sub42,far,1,-1.286133,1.85546,0.635928110938105,2.7678421030435407,0.32727833408469303,2.5885145204749773,0.4443650424090883,3.2341127093477544,-127.32773555183186,-96.6417398352925,-129.10362367219665,-119.75135102092631
study1_far_sub43,far,1,-2.347031,0.794562,0.9492604842442076,1.8963695714543745,0.11594448486430184,3.4832717806358473,0.880714936455488,4.519349568581379,-147.48054986636447,-72.4971393770516,-77.39674281019737,-165.57227741408056
study1_far_sub45,far,1,1.664263,-1.477329,0.8492714248850108,0.24503590603742031,0.8385419387298988,0.024830674823774983,0.34270531351749006,0.8660910186291412,-111.48695216481147,-112.48251831821398,-131.3642862025291,-117.49068176845496
study1_far_sub46,far,1,-2.320047,0.821546,0.9380030481085223,0.9914139203847583,0.01367803897725661,14.494481231616811,0.9412405699546085,1.02662265262289,-163.8147308972426,-9.112925815943353,-99.40701529887426,-149.44794259556852
study1_far_sub47,far,1,2.137228,-1.004365,0.6475425780894042,1.6767281667970864,0.19943837093350686,0.39964297602613474,0.9652201622609952,2.4934798736593424,-119.38943948236161,-104.58003190428116,-71.63155132909799,-168.35337428597504
study1_far_sub48,far,1,-1.972393,1.1692,0.8575933385071677,0.5065264352832776,0.33785382835226657,1.9572040944053566,0.05584407024717754,0.8882758465668577,-125.4383592012587,-98.53110997313298,-147.99199518719863,-100.86296499604727
study1_far_sub49,far,1,-1.079283,2.06231,0.6627213679051378,1.1305773125699625,0.2509586040074233,3.4628284259013236,0.4559798953923701,1.6312795480952396,-137.15687018869187,-86.78248735004384,-127.44484022792103,-121.41012904690042
study1_far_sub50,far,1,2.008789,-1.132804,0.9482360458529288,1.4790158311858048,0.3405379153216702,2.449970476270217,0.4980390429199894,1.4371613460659707,-126.12466629653962,-97.84480330317786,-123.83038457872524,-125.02458152167138
study1_far_sub51,far,1,-1.283962,1.8576310000000003,1.0,14.378663141710996,2.426749955135419e-19,12.11350988938691,0.9833333333720693,19.195695348471993,-163.7054253875531,-10.469001685105436,-15.069864231996133,-181.59506039348116
